State,Action,Q-value
"(9, 2)",left,-7.339862941059716
"(9, 2)",right,-7.343609030095291
"(9, 3)",up,-7.254286087556169
"(9, 3)",down,-7.282700564308774
"(9, 3)",left,-7.259714072498338
"(9, 3)",right,-7.268364621123174
"(9, 4)",up,-7.186762829429138
"(9, 4)",down,-7.186359725002873
"(9, 4)",left,-7.191162836525672
"(9, 4)",right,-7.18524966770153
"(9, 5)",up,-7.087699646300352
"(9, 5)",down,-7.093086708695498
"(9, 5)",left,-7.098867637350931
"(9, 5)",right,-7.091473537516638
"(9, 6)",up,-6.978599132443644
"(9, 6)",down,-6.970661677497671
"(9, 6)",left,-6.970056788409171
"(9, 6)",right,-6.986387773102689
"(9, 7)",up,-6.846662679980735
"(9, 7)",down,-6.886358876970362
"(9, 7)",left,-6.880497148562977
"(9, 7)",right,-6.850401046385794
"(9, 8)",up,-6.7277259889428205
"(9, 8)",down,-6.747051991515515
"(9, 8)",left,-6.729653941469468
"(9, 8)",right,-6.717617258541602
"(9, 9)",up,-6.5789789119605775
"(9, 9)",down,-6.5961024166490505
"(9, 9)",left,-6.604764754209688
"(9, 9)",right,-6.560905643458186
"(9, 10)",up,-6.414805149220443
"(9, 10)",down,-6.420835112819766
"(9, 10)",left,-6.447933366286872
"(9, 10)",right,-7.327920246407227
"(9, 11)",up,-6.178319972886965
"(9, 11)",down,-6.168811032238391
"(9, 11)",left,-6.201009555611218
"(9, 11)",right,-6.161387132828417
"(9, 12)",up,-5.944336989693586
"(9, 12)",down,-5.968145198820808
"(9, 12)",left,-5.996133421351063
"(9, 12)",right,-5.930445957070637
"(9, 13)",up,-5.672250264239
"(9, 13)",down,-5.67683176151134
"(9, 13)",left,-5.759687867381937
"(9, 13)",right,-5.682586141892719
"(9, 14)",up,-5.332974375022456
"(9, 14)",down,-5.4996869229445
"(9, 14)",left,-5.39121107430788
"(9, 14)",right,-5.333181208769039
"(9, 15)",up,-4.915287885988764
"(9, 15)",down,-5.006101974999831
"(9, 15)",left,-5.069475391618912
"(9, 15)",right,-4.914464488306381
"(9, 16)",up,-4.484642631964358
"(9, 16)",down,-4.482541174053588
"(9, 16)",left,-4.499062564737848
"(9, 16)",right,-4.35976390046061
"(9, 17)",up,-4.095344417013128
"(9, 17)",down,-4.1088602742768465
"(9, 17)",left,-4.246264415119209
"(9, 17)",right,-3.9828324368419232
"(9, 18)",up,-4.072598359401301
"(9, 18)",down,-3.914635873155227
"(9, 18)",left,-4.105093122301055
"(9, 18)",right,-3.026458206727287
"(9, 19)",up,-3.9952040363905885
"(9, 19)",down,-3.8661834625400795
"(9, 19)",left,-3.9817249235212335
"(9, 19)",right,-3.960379027386479
"(10, 0)",up,-7.288234688969208
"(10, 0)",down,-7.277382417608399
"(10, 0)",left,-7.284310320414599
"(10, 0)",right,-7.286267341433039
"(10, 1)",up,-7.264647969304515
"(10, 1)",down,-7.275090148460513
"(10, 1)",left,-7.278516632314352
"(10, 1)",right,-7.247654509417835
"(10, 2)",up,-7.210833911392765
"(10, 2)",down,-7.226267370637263
"(10, 2)",left,-7.204769078593627
"(10, 2)",right,-7.216918141220517
"(10, 3)",up,-7.154171409872659
"(10, 3)",down,-7.133612063795963
"(10, 3)",left,-7.12863659113357
"(10, 3)",right,-7.140133256173353
"(10, 4)",up,-7.06228584099936
"(10, 4)",down,-7.050815788972255
"(10, 4)",left,-7.065284461941952
"(10, 4)",right,-7.075452068920085
"(10, 5)",up,-6.970041857587027
"(10, 5)",down,-6.990191696206489
"(10, 5)",left,-6.959234455747524
"(10, 5)",right,-6.9612378516052695
"(10, 6)",up,-6.8539183827601695
"(10, 6)",down,-6.8878317859093094
"(10, 6)",left,-6.840085381164984
"(10, 6)",right,-6.842901087726834
"(10, 7)",up,-6.731151697143169
"(10, 7)",down,-6.730523770334473
"(10, 7)",left,-6.726519650671322
"(10, 7)",right,-6.714572781315443
"(10, 8)",up,-6.572032053429791
"(10, 8)",down,-6.632911471554735
"(10, 8)",left,-6.593480318614955
"(10, 8)",right,-6.564932666376629
"(10, 9)",up,-7.2253708967418975
"(10, 9)",down,-6.448799062897047
"(10, 9)",left,-6.417925808879713
"(10, 9)",right,-6.424397264607139
"(10, 10)",up,-2.634958526939681
"(10, 10)",down,-2.928192291473668
"(10, 10)",left,-2.6263463300665446
"(10, 10)",right,-2.8036221549701508
"(10, 11)",up,-5.876208445949631
"(10, 11)",down,-6.790321651431607
"(10, 11)",left,-5.930944363901807
"(10, 11)",right,-5.866884044588671
"(10, 12)",up,-5.65107769127339
"(10, 12)",down,-5.673987724086005
"(10, 12)",left,-5.7011476429119465
"(10, 12)",right,-5.640974281625926
"(10, 13)",up,-5.3342402395622095
"(10, 13)",down,-5.347349214698838
"(10, 13)",left,-5.395417404520201
"(10, 13)",right,-5.342883899067638
"(10, 14)",up,-4.9136017552055415
"(10, 14)",down,-4.953388931060794
"(10, 14)",left,-4.926938654339656
"(10, 14)",right,-4.914335418070865
"(10, 15)",up,-4.357464149220885
"(10, 15)",down,-4.576515508794879
"(10, 15)",left,-4.537534642888042
"(10, 15)",right,-4.4282354173929335
"(10, 16)",up,-4.004064369908634
"(10, 16)",down,-4.182700679634842
"(10, 16)",left,-4.221526246210443
"(10, 16)",right,-3.723986176639636
"(10, 17)",up,-3.1199888378713867
"(10, 17)",down,-3.880342574180372
"(10, 17)",left,-3.695787885289038
"(10, 17)",right,-3.656650235560245
"(10, 18)",up,-3.591607993372958
"(10, 18)",down,-3.703290416852704
"(10, 18)",left,-3.615856596566386
"(10, 18)",right,-2.2515928871147755
"(10, 19)",up,-3.573883979152816
"(10, 19)",down,-3.3773266342133956
"(10, 19)",left,-3.5173080320478003
"(10, 19)",right,-3.5204840441731133
"(11, 0)",up,-7.169943815763205
"(11, 0)",down,-7.166374231427302
"(11, 0)",left,-7.148884212961197
"(11, 0)",right,-7.15315032025421
"(11, 1)",up,-7.117552052400931
"(11, 1)",down,-7.116901574957919
"(11, 1)",left,-7.136452424155585
"(11, 1)",right,-7.132728509830687
"(11, 2)",up,-7.069694834430158
"(11, 2)",down,-7.096483137846369
"(11, 2)",left,-7.091524166837159
"(11, 2)",right,-7.083475134356253
"(11, 3)",up,-6.994434507789695
"(11, 3)",down,-7.036908436617306
"(11, 3)",left,-7.023568945904843
"(11, 3)",right,-7.010310540095171
"(11, 4)",up,-6.930672983988135
"(11, 4)",down,-6.916983318730402
"(11, 4)",left,-6.929645116203569
"(11, 4)",right,-6.948174342648144
"(11, 5)",up,-6.823112525636585
"(11, 5)",down,-6.848356565740511
"(11, 5)",left,-6.816686590534372
"(11, 5)",right,-6.808284223684063
"(11, 6)",up,-6.718651326311977
"(11, 6)",down,-6.700695201717692
"(11, 6)",left,-6.708102653286773
"(11, 6)",right,-6.7020322220872774
"(11, 7)",up,-6.568083158033567
"(11, 7)",down,-6.634347821716125
"(11, 7)",left,-6.577708978827951
"(11, 7)",right,-6.556844836070162
"(11, 8)",up,-6.384473806605802
"(11, 8)",down,-6.437508543038999
"(11, 8)",left,-6.41900819265857
"(11, 8)",right,-6.38346097388238
"(11, 9)",up,-6.168690984734772
"(11, 9)",down,-6.2118389573413655
"(11, 9)",left,-6.211834216340894
"(11, 9)",right,-6.163830235666504
"(11, 10)",up,-5.89010578564155
"(11, 10)",down,-5.88684468900963
"(11, 10)",left,-7.121047562616398
"(11, 10)",right,-5.889860825622052
"(11, 11)",up,-5.6401871321631525
"(11, 11)",down,-5.631298085540582
"(11, 11)",left,-5.6566074648915325
"(11, 11)",right,-5.639748559128505
"(11, 12)",up,-5.328279067758255
"(11, 12)",down,-5.380482550854712
"(11, 12)",left,-5.381682662696032
"(11, 12)",right,-5.3354196893165735
"(11, 13)",up,-4.92593117134435
"(11, 13)",down,-4.970503566110776
"(11, 13)",left,-4.961623987548181
"(11, 13)",right,-4.9257899783956995
"(11, 14)",up,-4.365620033580616
"(11, 14)",down,-4.721898555552614
"(11, 14)",left,-4.627536579676892
"(11, 14)",right,-4.421988280383427
"(11, 15)",up,-3.7280613475820026
"(11, 15)",down,-4.195218935692244
"(11, 15)",left,-4.182085663644941
"(11, 15)",right,-3.9546290570025535
"(11, 16)",up,-3.5096758281001383
"(11, 16)",down,-3.572063946544896
"(11, 16)",left,-3.730102284043402
"(11, 16)",right,-3.0264326572652887
"(11, 17)",up,-3.2134966634858424
"(11, 17)",down,-3.2768066808954095
"(11, 17)",left,-3.266022663293932
"(11, 17)",right,-2.376652432154782
"(11, 18)",up,-3.1641701260598896
"(11, 18)",down,-3.106747757429275
"(11, 18)",left,-3.0904721853870165
"(11, 18)",right,-1.3906559492444435
"(11, 19)",up,-3.1001732757977307
"(11, 19)",down,-2.8699240427934907
"(11, 19)",left,-3.115484844955697
"(11, 19)",right,-3.085098203839619
"(12, 0)",up,-7.017019605366217
"(12, 0)",down,-7.021329357283115
"(12, 0)",left,-7.035941805495477
"(12, 0)",right,-7.031638432124347
"(12, 1)",up,-7.001603997005453
"(12, 1)",down,-7.002341268172838
"(12, 1)",left,-6.984717344140457
"(12, 1)",right,-7.006563326662445
"(12, 2)",up,-6.959106330218408
"(12, 2)",down,-6.953766936772587
"(12, 2)",left,-6.9434172030174395
"(12, 2)",right,-6.959331755590955
"(12, 3)",up,-6.8845664536728455
"(12, 3)",down,-6.9010692057292555
"(12, 3)",left,-6.900242549831982
"(12, 3)",right,-6.878208937518649
"(12, 4)",up,-6.806779554872524
"(12, 4)",down,-6.813170476342929
"(12, 4)",left,-6.812442789197712
"(12, 4)",right,-6.807622791038178
"(12, 5)",up,-6.694456206382614
"(12, 5)",down,-6.697715119785995
"(12, 5)",left,-6.677010926100348
"(12, 5)",right,-6.685911935711312
"(12, 6)",up,-6.550357929532554
"(12, 6)",down,-6.563865753104746
"(12, 6)",left,-6.545084989814903
"(12, 6)",right,-6.554903814765581
"(12, 7)",up,-6.368073970710743
"(12, 7)",down,-6.40247512593528
"(12, 7)",left,-6.447919191972639
"(12, 7)",right,-6.3795240983312205
"(12, 8)",up,-6.172304822288021
"(12, 8)",down,-6.180843965031773
"(12, 8)",left,-6.226356489639515
"(12, 8)",right,-6.174844979213233
"(12, 9)",up,-5.939032394455401
"(12, 9)",down,-5.941524900845287
"(12, 9)",left,-5.946233268049345
"(12, 9)",right,-5.9488511323897715
"(12, 10)",up,-5.674941828764354
"(12, 10)",down,-5.7067127743464425
"(12, 10)",left,-5.675321655998028
"(12, 10)",right,-5.671355973026099
"(12, 11)",up,-5.349807630792541
"(12, 11)",down,-5.487882716029283
"(12, 11)",left,-5.344398927528121
"(12, 11)",right,-5.3398817666456955
"(12, 12)",up,-4.953519502179773
"(12, 12)",down,-4.968416532792815
"(12, 12)",left,-4.968794347306437
"(12, 12)",right,-4.966294451281388
"(12, 13)",up,-4.392533963903494
"(12, 13)",down,-4.46862615173814
"(12, 13)",left,-4.5502365647562275
"(12, 13)",right,-4.476536954877478
"(12, 14)",up,-3.7405920706143077
"(12, 14)",down,-4.101039415164756
"(12, 14)",left,-4.066628946662065
"(12, 14)",right,-4.022819264127527
"(12, 15)",up,-3.0303631659771573
"(12, 15)",down,-3.711215086607957
"(12, 15)",left,-3.6355837424749318
"(12, 15)",right,-3.5579160081374037
"(12, 16)",up,-2.25159023742889
"(12, 16)",down,-3.372933237107615
"(12, 16)",left,-3.4777193183173587
"(12, 16)",right,-3.1215389399717126
"(12, 17)",up,-1.3906558004637253
"(12, 17)",down,-2.954976946533717
"(12, 17)",left,-3.1646780056782715
"(12, 17)",right,-2.4413702575719567
"(12, 18)",up,-2.620994106909718
"(12, 18)",down,-2.3860968776628315
"(12, 18)",left,-2.4024908639291467
"(12, 18)",right,-0.4340620000000119
"(12, 19)",up,-2.6551497494163643
"(12, 19)",down,-1.5852755240422876
"(12, 19)",left,-2.711335677625084
"(12, 19)",right,-2.630018749946213
"(13, 0)",up,-6.9076754570073
"(13, 0)",down,-6.902168792310427
"(13, 0)",left,-6.909538151824132
"(13, 0)",right,-6.913161484019648
"(13, 1)",up,-6.881417659865534
"(13, 1)",down,-6.893329071827578
"(13, 1)",left,-6.879957957033322
"(13, 1)",right,-6.886266450828481
"(13, 2)",up,-6.8311706318180825
"(13, 2)",down,-6.857187732831648
"(13, 2)",left,-6.826320668214356
"(13, 2)",right,-6.829424114690656
"(13, 3)",up,-6.756789407927796
"(13, 3)",down,-6.76622795589463
"(13, 3)",left,-6.759995714983874
"(13, 3)",right,-6.762281039341868
"(13, 4)",up,-6.655761970511547
"(13, 4)",down,-6.66185888425794
"(13, 4)",left,-6.691120386697294
"(13, 4)",right,-6.672981323762108
"(13, 5)",up,-6.53049553458565
"(13, 5)",down,-6.538347519287731
"(13, 5)",left,-6.5727514464994075
"(13, 5)",right,-6.525112313637754
"(13, 6)",up,-6.3795375970705015
"(13, 6)",down,-6.367456956913886
"(13, 6)",left,-6.388058412703903
"(13, 6)",right,-6.37298704514321
"(13, 7)",up,-6.181645596593021
"(13, 7)",down,-6.1923656084697
"(13, 7)",left,-6.235805025582853
"(13, 7)",right,-6.198802076422407
"(13, 8)",up,-5.946919875062012
"(13, 8)",down,-5.9672663819391465
"(13, 8)",left,-5.985828289983948
"(13, 8)",right,-5.958059779801614
"(13, 9)",up,-5.686679208684658
"(13, 9)",down,-5.700504182884371
"(13, 9)",left,-5.704128540458806
"(13, 9)",right,-5.698420556051394
"(13, 10)",up,-5.357229204593834
"(13, 10)",down,-5.431981414187375
"(13, 10)",left,-5.415600046738029
"(13, 10)",right,-5.357152549837004
"(13, 11)",up,-4.94807583334246
"(13, 11)",down,-5.045475682901781
"(13, 11)",left,-4.992396576738495
"(13, 11)",right,-4.936590099018324
"(13, 12)",up,-4.569254723521839
"(13, 12)",down,-4.623264785970545
"(13, 12)",left,-4.637570496922805
"(13, 12)",right,-4.57093728499837
"(13, 13)",up,-4.105171894400916
"(13, 13)",down,-4.123645251062943
"(13, 13)",left,-4.181249507360125
"(13, 13)",right,-4.0116141681663375
"(13, 14)",up,-3.643185291824399
"(13, 14)",down,-3.7240919026871886
"(13, 14)",left,-3.738738057388615
"(13, 14)",right,-3.4314846445608667
"(13, 15)",up,-3.161917073203667
"(13, 15)",down,-3.288248683431558
"(13, 15)",left,-3.3252364684092677
"(13, 15)",right,-2.7222128742846596
"(13, 16)",up,-2.702832270226121
"(13, 16)",down,-2.8322470313726997
"(13, 16)",left,-2.7935277124245763
"(13, 16)",right,-2.1062406122439716
"(13, 17)",up,-0.6191329657977436
"(13, 17)",down,-2.441111756895678
"(13, 17)",left,-2.369420947320257
"(13, 17)",right,-2.3158132850862594
"(13, 18)",up,-2.0932504258463065
"(13, 18)",down,-1.9855940202280609
"(13, 18)",left,-1.7423708839601477
"(13, 18)",right,0.6288199999999873
"(13, 19)",up,-2.220484556262642
"(13, 19)",down,-0.8425152869919083
"(13, 19)",left,-2.22790371401835
"(13, 19)",right,-2.1705303593979703
"(14, 0)",up,-6.788973239981034
"(14, 0)",down,-6.7679088790618795
"(14, 0)",left,-6.836849616637508
"(14, 0)",right,-6.786638355427256
"(14, 1)",up,-6.751685708707386
"(14, 1)",down,-6.779639001332673
"(14, 1)",left,-6.750876944322182
"(14, 1)",right,-6.75069914625585
"(14, 2)",up,-6.699516054402868
"(14, 2)",down,-6.7070463813011445
"(14, 2)",left,-6.718988532745816
"(14, 2)",right,-6.707325321021592
"(14, 3)",up,-6.630078214671368
"(14, 3)",down,-6.6489474761704805
"(14, 3)",left,-6.663142251317719
"(14, 3)",right,-6.620952204241952
"(14, 4)",up,-6.534367758259861
"(14, 4)",down,-6.558035736880659
"(14, 4)",left,-6.544422848483967
"(14, 4)",right,-6.542654914328333
"(14, 5)",up,-6.40614718841714
"(14, 5)",down,-6.4251874388276455
"(14, 5)",left,-6.414495312351757
"(14, 5)",right,-7.722624994700615
"(14, 6)",up,-6.185645204702848
"(14, 6)",down,-6.191762147745467
"(14, 6)",left,-6.196864737612396
"(14, 6)",right,-6.184311804011775
"(14, 7)",up,-5.982463076829695
"(14, 7)",down,-6.008320789233134
"(14, 7)",left,-6.02388138101894
"(14, 7)",right,-5.968956604587728
"(14, 8)",up,-5.706757987198859
"(14, 8)",down,-5.830642601059555
"(14, 8)",left,-5.709692486196277
"(14, 8)",right,-5.687942742217684
"(14, 9)",up,-5.37122839523043
"(14, 9)",down,-5.451141335864902
"(14, 9)",left,-5.397176782104206
"(14, 9)",right,-5.366603496709796
"(14, 10)",up,-4.924810900292187
"(14, 10)",down,-4.936131064798249
"(14, 10)",left,-5.0463306596218
"(14, 10)",right,-4.922814281377982
"(14, 11)",up,-4.472801254720704
"(14, 11)",down,-4.5290208248896775
"(14, 11)",left,-4.536407139651828
"(14, 11)",right,-4.370923409419879
"(14, 12)",up,-3.9950612750514454
"(14, 12)",down,-4.13674613496149
"(14, 12)",left,-4.178397796016441
"(14, 12)",right,-4.101499476705479
"(14, 13)",up,-3.166957103539624
"(14, 13)",down,-3.672926094132823
"(14, 13)",left,-3.682933015197548
"(14, 13)",right,-3.667460244358307
"(14, 14)",up,-2.305581897408339
"(14, 14)",down,-3.2594275832414827
"(14, 14)",left,-3.3073985739461516
"(14, 14)",right,-3.287288184445055
"(14, 15)",up,-1.4087376837535937
"(14, 15)",down,-3.0139857289626444
"(14, 15)",left,-2.9572529959307525
"(14, 15)",right,-4.171540496793589
"(14, 16)",up,-0.4377330049541328
"(14, 16)",down,-2.5065996202268277
"(14, 16)",left,-2.534389736928926
"(14, 16)",right,-2.317244758251059
"(14, 17)",up,0.6286627083682309
"(14, 17)",down,-1.9685283444082562
"(14, 17)",left,-1.9340364913707528
"(14, 17)",right,-1.6970253152584782
"(14, 18)",up,-1.4472338893299261
"(14, 18)",down,-0.6213447079871837
"(14, 18)",left,-0.9962981974066746
"(14, 18)",right,1.8097999999999863
"(14, 19)",up,-1.7383137616441333
"(14, 19)",down,0.12692489436349286
"(14, 19)",left,-1.75464635802364
"(14, 19)",right,-1.7004546068541806
"(15, 0)",up,-6.66018294914398
"(15, 0)",down,-6.645063172420724
"(15, 0)",left,-6.682664472306661
"(15, 0)",right,-6.694650289661581
"(15, 1)",up,-6.636581693605269
"(15, 1)",down,-6.652651228698482
"(15, 1)",left,-6.625885390999701
"(15, 1)",right,-6.636411780318934
"(15, 2)",up,-6.587154238478911
"(15, 2)",down,-6.584549035155877
"(15, 2)",left,-6.591362005954583
"(15, 2)",right,-6.597680457240571
"(15, 3)",up,-6.495260159835943
"(15, 3)",down,-6.5331325572525705
"(15, 3)",left,-6.511610017414514
"(15, 3)",right,-6.49358129630683
"(15, 4)",up,-7.777083226831428
"(15, 4)",down,-6.390686670594714
"(15, 4)",left,-6.426097974882513
"(15, 4)",right,-6.408197238833162
"(15, 5)",up,-3.044811846695313
"(15, 5)",down,-2.957673713639298
"(15, 5)",left,-3.119304013772318
"(15, 5)",right,-3.1686644941192337
"(15, 6)",up,-5.931539500540087
"(15, 6)",down,-8.223640059900488
"(15, 6)",left,-5.9519563261880215
"(15, 6)",right,-5.917825501338092
"(15, 7)",up,-5.703930691198986
"(15, 7)",down,-5.75670863015083
"(15, 7)",left,-5.790961128365489
"(15, 7)",right,-5.695708612335822
"(15, 8)",up,-5.366052466601559
"(15, 8)",down,-5.427964808098479
"(15, 8)",left,-5.397940855880763
"(15, 8)",right,-5.37072572980463
"(15, 9)",up,-4.92547019816477
"(15, 9)",down,-4.975785141104929
"(15, 9)",left,-5.153904636285381
"(15, 9)",right,-4.929280217955356
"(15, 10)",up,-4.476909217675538
"(15, 10)",down,-4.646290867327547
"(15, 10)",left,-4.510906766907433
"(15, 10)",right,-4.354403702517695
"(15, 11)",up,-4.124203705302622
"(15, 11)",down,-4.289641301158271
"(15, 11)",left,-4.1817085633754045
"(15, 11)",right,-3.730358654085729
"(15, 12)",up,-3.7386741511671917
"(15, 12)",down,-3.7914739059089437
"(15, 12)",left,-3.737068259564565
"(15, 12)",right,-3.6597916518111884
"(15, 13)",up,-3.2805183986257553
"(15, 13)",down,-3.324855981413068
"(15, 13)",left,-3.4072645754221256
"(15, 13)",right,-3.234522064950816
"(15, 14)",up,-3.487659789749249
"(15, 14)",down,-2.966613619294878
"(15, 14)",left,-3.0033194707359874
"(15, 14)",right,-2.8568163391710852
"(15, 15)",up,-0.6052921057359553
"(15, 15)",down,-0.598158340954059
"(15, 15)",left,-0.9184976482498319
"(15, 15)",right,-0.5261314187892034
"(15, 16)",up,-1.2587306941077183
"(15, 16)",down,-2.758267193306762
"(15, 16)",left,-1.8049307180201863
"(15, 16)",right,-1.7638792082878065
"(15, 17)",up,1.4183866504294085
"(15, 17)",down,-1.6432348296779424
"(15, 17)",left,-1.2641549297821588
"(15, 17)",right,-1.123103738727798
"(15, 18)",up,-0.6421736722174457
"(15, 18)",down,-0.3087058396444698
"(15, 18)",left,0.15978763030155047
"(15, 18)",right,3.1219999999999857
"(15, 19)",up,-1.0535465588059143
"(15, 19)",down,1.1210051717818386
"(15, 19)",left,-1.1960802730246782
"(15, 19)",right,-1.0441426361751038
"(16, 0)",up,-6.597084206555661
"(16, 0)",down,-6.5930571601466585
"(16, 0)",left,-6.588087614154957
"(16, 0)",right,-6.567895657921673
"(16, 1)",up,-6.5403181714548815
"(16, 1)",down,-6.544468539232335
"(16, 1)",left,-6.547323366890571
"(16, 1)",right,-6.540770328693252
"(16, 2)",up,-6.468201620370142
"(16, 2)",down,-6.471827209731557
"(16, 2)",left,-6.479240336842917
"(16, 2)",right,-6.479393494508286
"(16, 3)",up,-6.367268276373715
"(16, 3)",down,-6.389652622025479
"(16, 3)",left,-6.406981581048191
"(16, 3)",right,-6.352071313428403
"(16, 4)",up,-6.204866136916082
"(16, 4)",down,-6.281132148019753
"(16, 4)",left,-6.2200989646162625
"(16, 4)",right,-6.195866084685597
"(16, 5)",up,-5.947613031508097
"(16, 5)",down,-5.985408739969637
"(16, 5)",left,-6.1693390232745315
"(16, 5)",right,-5.956143930533586
"(16, 6)",up,-5.714997449368735
"(16, 6)",down,-5.731249956945073
"(16, 6)",left,-5.75034593905517
"(16, 6)",right,-5.704180179607645
"(16, 7)",up,-5.399906223975278
"(16, 7)",down,-5.448830608319999
"(16, 7)",left,-5.4838361492963115
"(16, 7)",right,-5.3999673690872685
"(16, 8)",up,-4.937915027584605
"(16, 8)",down,-5.235119304361032
"(16, 8)",left,-4.970379666518359
"(16, 8)",right,-4.969186849187118
"(16, 9)",up,-4.3595370966818665
"(16, 9)",down,-4.626585386762339
"(16, 9)",left,-4.569579737404899
"(16, 9)",right,-4.513268487551223
"(16, 10)",up,-3.7238714272040068
"(16, 10)",down,-4.218969974067226
"(16, 10)",left,-4.399852882273294
"(16, 10)",right,-4.011386178068671
"(16, 11)",up,-3.6515626113252972
"(16, 11)",down,-3.9303266626047466
"(16, 11)",left,-3.8902578429826526
"(16, 11)",right,-3.026432035287852
"(16, 12)",up,-3.2408054678145994
"(16, 12)",down,-3.3848563832119853
"(16, 12)",left,-3.3821868014073355
"(16, 12)",right,-2.6866883386449496
"(16, 13)",up,-2.786250889403621
"(16, 13)",down,-2.8733649623243767
"(16, 13)",left,-3.043221537810584
"(16, 13)",right,-2.2775611252916836
"(16, 14)",up,-1.8822755968485538
"(16, 14)",down,-2.3059298570723885
"(16, 14)",left,-2.402223349266141
"(16, 14)",right,-2.316497361233717
"(16, 15)",up,-1.7244510665970747
"(16, 15)",down,-1.8084070128039136
"(16, 15)",left,-2.755599666434655
"(16, 15)",right,-0.26121142782170365
"(16, 16)",up,-0.9536030101343733
"(16, 16)",down,-1.328418788127292
"(16, 16)",left,-1.5636673252626887
"(16, 16)",right,-1.2710575591800157
"(16, 17)",up,2.785067430609422
"(16, 17)",down,-0.9196543943631913
"(16, 17)",left,-0.9441872190961337
"(16, 17)",right,-0.5955500782743353
"(16, 18)",up,0.5738948218774554
"(16, 18)",down,0.75390528282372
"(16, 18)",left,1.5728459654864615
"(16, 18)",right,4.579999999999986
"(16, 19)",up,-0.48873910190492303
"(16, 19)",down,-0.22721590114847
"(16, 19)",left,-0.6565654427861833
"(16, 19)",right,3.811546272075743
"(17, 0)",up,-6.496607078528485
"(17, 0)",down,-6.491953765848185
"(17, 0)",left,-6.509991466910306
"(17, 0)",right,-6.467856384510402
"(17, 1)",up,-6.447815209634604
"(17, 1)",down,-6.471580430573263
"(17, 1)",left,-6.449702384663012
"(17, 1)",right,-6.4625701052943425
"(17, 2)",up,-6.3698840612765295
"(17, 2)",down,-6.383266067801344
"(17, 2)",left,-6.353843679133855
"(17, 2)",right,-6.349820653339325
"(17, 3)",up,-6.218311091181638
"(17, 3)",down,-6.215013808391585
"(17, 3)",left,-6.260073172127676
"(17, 3)",right,-6.262002143959926
"(17, 4)",up,-6.032992420679478
"(17, 4)",down,-6.059835646598524
"(17, 4)",left,-6.084017071775559
"(17, 4)",right,-6.048164091565798
"(17, 5)",up,-5.785909046566719
"(17, 5)",down,-5.821204782834445
"(17, 5)",left,-5.780422000213536
"(17, 5)",right,-5.784029667068807
"(17, 6)",up,-5.44189318865692
"(17, 6)",down,-5.47912136169377
"(17, 6)",left,-5.481107351384045
"(17, 6)",right,-5.441173505230175
"(17, 7)",up,-5.041674594510236
"(17, 7)",down,-5.057303384708072
"(17, 7)",left,-5.102446881674399
"(17, 7)",right,-4.965069230715212
"(17, 8)",up,-4.574427436792065
"(17, 8)",down,-4.64759164037114
"(17, 8)",left,-4.751696381401327
"(17, 8)",right,-4.611060053822763
"(17, 9)",up,-3.874813838984458
"(17, 9)",down,-4.232439692650933
"(17, 9)",left,-4.214201801541363
"(17, 9)",right,-4.1633227041268706
"(17, 10)",up,-3.0500575357523187
"(17, 10)",down,-3.9118216936304893
"(17, 10)",left,-3.8491810198026646
"(17, 10)",right,-3.7578915978216227
"(17, 11)",up,-2.9537614657729847
"(17, 11)",down,-3.616372892770282
"(17, 11)",left,-3.566073733226655
"(17, 11)",right,-2.251590245740813
"(17, 12)",up,-2.873454571678814
"(17, 12)",down,-2.9125612065790913
"(17, 12)",left,-2.96348968072483
"(17, 12)",right,-1.4342567364411982
"(17, 13)",up,-2.3302209101872475
"(17, 13)",down,-2.582406484218973
"(17, 13)",left,-2.553311914931996
"(17, 13)",right,-0.5602861902471021
"(17, 14)",up,-0.3103657897896299
"(17, 14)",down,-1.9339810530343602
"(17, 14)",left,-2.043503794609423
"(17, 14)",right,-1.7696238409593692
"(17, 15)",up,-1.390832986650836
"(17, 15)",down,-1.5864956535991368
"(17, 15)",left,-1.5235828336229602
"(17, 15)",right,1.7438142939412986
"(17, 16)",up,0.6163770306068952
"(17, 16)",down,-0.9383025947702869
"(17, 16)",left,-0.9406621260779612
"(17, 16)",right,-0.8968266745407514
"(17, 17)",up,-0.5460304944193618
"(17, 17)",down,-0.6401224713551373
"(17, 17)",left,-0.4189573860885876
"(17, 17)",right,4.23201173797583
"(17, 18)",up,3.4530835281975176
"(17, 18)",down,1.0897059201058632
"(17, 18)",left,2.1897429060179983
"(17, 18)",right,6.199999999999989
"(17, 19)",up,-0.199
"(17, 19)",down,0.19798098732304625
"(17, 19)",left,-0.007788492551161846
"(17, 19)",right,7.4735126769787135
"(18, 0)",up,-6.406211080181073
"(18, 0)",down,-6.405351846824258
"(18, 0)",left,-6.412316658179851
"(18, 0)",right,-6.417496463554131
"(18, 1)",up,-6.377513081851227
"(18, 1)",down,-6.384097145630578
"(18, 1)",left,-6.406667496464776
"(18, 1)",right,-6.35660064352108
"(18, 2)",up,-6.281931289845997
"(18, 2)",down,-6.299929843069473
"(18, 2)",left,-6.284937775685133
"(18, 2)",right,-6.281713831079643
"(18, 3)",up,-6.131295648922474
"(18, 3)",down,-6.174235902891482
"(18, 3)",left,-6.146758159149623
"(18, 3)",right,-6.140338556199062
"(18, 4)",up,-5.896441579128873
