State,Action,Q-value
"(5, 4)",down,-7.717057206326362
"(5, 4)",left,-7.702564062135082
"(5, 4)",right,-7.6954435787610835
"(5, 5)",up,-4.434377276942864
"(5, 5)",down,-4.360227779681885
"(5, 5)",left,-4.405874979586007
"(5, 5)",right,-4.553150847274108
"(5, 6)",up,-7.4378758802110605
"(5, 6)",down,-9.922565448110532
"(5, 6)",left,-7.455543832169327
"(5, 6)",right,-7.42205267106037
"(5, 7)",up,-7.333152080104834
"(5, 7)",down,-7.361302625392235
"(5, 7)",left,-7.36942692058105
"(5, 7)",right,-7.334947815172344
"(5, 8)",up,-7.262888498385382
"(5, 8)",down,-7.243727753496839
"(5, 8)",left,-7.214490155890787
"(5, 8)",right,-7.222550713916978
"(5, 9)",up,-8.937667203585143
"(5, 9)",down,-7.169871111949229
"(5, 9)",left,-7.159606943425531
"(5, 9)",right,-7.1601658541102005
"(5, 10)",up,-4.047426300461963
"(5, 10)",down,-3.983687687331192
"(5, 10)",left,-3.780531264774352
"(5, 10)",right,-4.001797847105233
"(5, 11)",up,-6.7439042804857845
"(5, 11)",down,-7.866736759330788
"(5, 11)",left,-6.772690048242255
"(5, 11)",right,-6.74120532501397
"(5, 12)",up,-6.635194927884868
"(5, 12)",down,-6.634086435353679
"(5, 12)",left,-6.649352306503976
"(5, 12)",right,-6.646304470240127
"(5, 13)",up,-6.4945378070737645
"(5, 13)",down,-6.507688208101625
"(5, 13)",left,-6.53559593920612
"(5, 13)",right,-6.487832216412246
"(5, 14)",up,-7.562279234127356
"(5, 14)",down,-6.367580779557155
"(5, 14)",left,-6.397043399980465
"(5, 14)",right,-6.36713904469493
"(5, 15)",up,-2.6939821649815086
"(5, 15)",down,-2.553178135099793
"(5, 15)",left,-2.672859001660938
"(5, 15)",right,-2.753086518438702
"(5, 16)",up,-5.926965362931348
"(5, 16)",down,-6.802752736168171
"(5, 16)",left,-5.923441680446248
"(5, 16)",right,-5.912315432610392
"(5, 17)",up,-5.743571947342394
"(5, 17)",down,-5.846843180914866
"(5, 17)",left,-5.785787560127986
"(5, 17)",right,-5.725555112351243
"(5, 18)",up,-5.522207990404125
